"Image type","Feature Class","Feature Name","103: RTSTRUCT: TN_mammella_segm_3_segment_t_mammella","103: RTSTRUCT: TN_mammella_segm_3_segment_n_ascella"
"diagnostics","Versions","PyRadiomics","v3.1.0","v3.1.0"
"diagnostics","Versions","Numpy","1.23.4","1.23.4"
"diagnostics","Versions","SimpleITK","2.2.0rc2.dev368","2.2.0rc2.dev368"
"diagnostics","Versions","PyWavelet","1.4.1","1.4.1"
"diagnostics","Versions","Python","3.9.10","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'Wavelet': {}}","{'Original': {}, 'Wavelet': {}}"
"diagnostics","Image-original","Hash","e424e7c1e29a9ef490c1d52ff02777fc8fee19cf","e424e7c1e29a9ef490c1d52ff02777fc8fee19cf"
"diagnostics","Image-original","Dimensionality","3D","3D"
"diagnostics","Image-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Image-original","Size","(512, 512, 285)","(512, 512, 285)"
"diagnostics","Image-original","Mean","-1169.8065378557171","-1169.8065378557171"
"diagnostics","Image-original","Minimum","-3024.0","-3024.0"
"diagnostics","Image-original","Maximum","3071.0","3071.0"
"diagnostics","Mask-original","Hash","bdc1be77846b4372d10bf25c17efae99141fd5fe","b9ce763b88a37f52d7940e2dd389c529deb4dc70"
"diagnostics","Mask-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Mask-original","Size","(512, 512, 285)","(512, 512, 285)"
"diagnostics","Mask-original","BoundingBox","(131, 198, 187, 21, 21, 8)","(139, 273, 212, 13, 13, 5)"
"diagnostics","Mask-original","VoxelNum","1180","412"
"diagnostics","Mask-original","VolumeNum","1","1"
"diagnostics","Mask-original","CenterOfMassIndex","(141.53389830508473, 206.74915254237288, 190.6220338983051)","(145.9878640776699, 279.36893203883494, 213.64077669902912)"
"diagnostics","Mask-original","CenterOfMass","(-111.78337320338986, -48.09663409491523, -301.8459491525424)","(-107.43379948058254, 22.82108300970873, -226.57466019417484)"
"original","shape","Elongation","0.9432968321966736","0.6851704326491289"
"original","shape","Flatness","0.5769172320880372","0.4921278798232328"
"original","shape","LeastAxisLength","12.413724601058327","8.845366987117162"
"original","shape","MajorAxisLength","21.517340635032372","17.973716486646367"
"original","shape","Maximum2DDiameterColumn","26.808167416561393","18.562597892734843"
"original","shape","Maximum2DDiameterRow","24.886129349185662","17.721526278860857"
"original","shape","Maximum2DDiameterSlice","24.89754347116599","17.277145463622514"
"original","shape","Maximum3DDiameter","27.196666224207554","21.95219810098524"
"original","shape","MeshVolume","3620.2024105398837","1246.365224575521"
"original","shape","MinorAxisLength","20.297239258322797","12.315059101468274"
"original","shape","Sphericity","0.7179343633683204","0.7306605328409277"
"original","shape","SurfaceArea","1588.1369574222479","766.5350607145682"
"original","shape","SurfaceVolumeRatio","0.43868733770203966","0.6150164057855751"
"original","shape","VoxelVolume","3679.843949122059","1284.8268703714307"
"original","firstorder","10Percentile","-50.0","-31.0"
