"Image type","Feature Class","Feature Name","103: RTSTRUCT: TN_mammella_segm_1_segment_t_mammella","103: RTSTRUCT: TN_mammella_segm_1_segment_n_ascella"
"diagnostics","Versions","PyRadiomics","v3.1.0","v3.1.0"
"diagnostics","Versions","Numpy","1.23.4","1.23.4"
"diagnostics","Versions","SimpleITK","2.2.0rc2.dev368","2.2.0rc2.dev368"
"diagnostics","Versions","PyWavelet","1.4.1","1.4.1"
"diagnostics","Versions","Python","3.9.10","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'Wavelet': {}}","{'Original': {}, 'Wavelet': {}}"
"diagnostics","Image-original","Hash","4842edb532230167c96ee62b2cf7d435ccd63d14","4842edb532230167c96ee62b2cf7d435ccd63d14"
"diagnostics","Image-original","Dimensionality","3D","3D"
"diagnostics","Image-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Image-original","Size","(512, 512, 227)","(512, 512, 227)"
"diagnostics","Image-original","Mean","-1233.1881800412082","-1233.1881800412082"
"diagnostics","Image-original","Minimum","-3024.0","-3024.0"
"diagnostics","Image-original","Maximum","3071.0","3071.0"
"diagnostics","Mask-original","Hash","7bbc6d0940b895b95d5de04245f3e810c195dfa2","5d64f35fb375fb13a117f4a14ae6cef159f2383a"
"diagnostics","Mask-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Mask-original","Size","(512, 512, 227)","(512, 512, 227)"
"diagnostics","Mask-original","BoundingBox","(187, 178, 146, 21, 16, 7)","(150, 251, 173, 13, 13, 4)"
"diagnostics","Mask-original","VoxelNum","849","282"
"diagnostics","Mask-original","VolumeNum","1","1"
"diagnostics","Mask-original","CenterOfMassIndex","(198.26501766784452, 184.56065959952886, 149.02944640753827)","(156.6418439716312, 256.2482269503546, 174.63120567375887)"
"diagnostics","Mask-original","CenterOfMass","(-56.38191781625443, -69.7650731401649, -259.9437102473499)","(-97.02952756737591, 0.24228100709220257, -176.2259574468086)"
"original","shape","Elongation","0.7367832962289926","0.7374253704697415"
"original","shape","Flatness","0.6174620175774725","0.5315364345836752"
"original","shape","LeastAxisLength","12.652878800848734","7.932076573622828"
"original","shape","MajorAxisLength","20.491752432790225","14.922921661683665"
"original","shape","Maximum2DDiameterColumn","24.00651291023867","15.758614803572172"
"original","shape","Maximum2DDiameterRow","23.076723338866717","17.561758480788193"
"original","shape","Maximum2DDiameterSlice","21.328436021086688","13.101954097458899"
"original","shape","Maximum3DDiameter","24.71123028794479","17.990945899953118"
"original","shape","MeshVolume","2595.5114012610693","843.297571673805"
"original","shape","MinorAxisLength","15.09798090293966","11.004541034858008"
"original","shape","Sphericity","0.7204243579668986","0.7431181664828083"
"original","shape","SurfaceArea","1267.7813644307164","580.8716034065372"
"original","shape","SurfaceVolumeRatio","0.488451471958376","0.6888097664666626"
"original","shape","VoxelVolume","2647.6165362751085","879.4203336037463"
"original","firstorder","10Percentile","18.0","-52.8"
