"Image type","Feature Class","Feature Name","103: RTSTRUCT: TN_mammella_segm_1_segment_t_mammella","103: RTSTRUCT: TN_mammella_segm_1_segment_n_ascella"
"diagnostics","Versions","PyRadiomics","v3.1.0","v3.1.0"
"diagnostics","Versions","Numpy","1.23.4","1.23.4"
"diagnostics","Versions","SimpleITK","2.2.0rc2.dev368","2.2.0rc2.dev368"
"diagnostics","Versions","PyWavelet","1.4.1","1.4.1"
"diagnostics","Versions","Python","3.9.10","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'Wavelet': {}}","{'Original': {}, 'Wavelet': {}}"
"diagnostics","Image-original","Hash","2579f880a9e3d65435c66c794f2e9c6ebccf4ebb","2579f880a9e3d65435c66c794f2e9c6ebccf4ebb"
"diagnostics","Image-original","Dimensionality","3D","3D"
"diagnostics","Image-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Image-original","Size","(512, 512, 245)","(512, 512, 245)"
"diagnostics","Image-original","Mean","-1199.2452207915637","-1199.2452207915637"
"diagnostics","Image-original","Minimum","-3024.0","-3024.0"
"diagnostics","Image-original","Maximum","3071.0","3071.0"
"diagnostics","Mask-original","Hash","ab167c47ebdc557a52811efec1adf1dbf5b5c543","d9fd70c4eb37c7d615b07e3c488d1e37105ec321"
"diagnostics","Mask-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Mask-original","Size","(512, 512, 245)","(512, 512, 245)"
"diagnostics","Mask-original","BoundingBox","(122, 195, 153, 30, 49, 13)","(131, 257, 174, 18, 18, 7)"
"diagnostics","Mask-original","VoxelNum","3385","525"
"diagnostics","Mask-original","VolumeNum","1","1"
"diagnostics","Mask-original","CenterOfMassIndex","(132.997341211226, 215.76484490398818, 159.8242245199409)","(140.2, 265.1561904761905, 176.30095238095237)"
"diagnostics","Mask-original","CenterOfMass","(-120.11985047208273, -39.29225153087148, -249.00478581979326)","(-113.08600760000004, 8.941459683809569, -195.1258857142858)"
"original","shape","Elongation","0.723363449116952","0.7413308592264188"
"original","shape","Flatness","0.39156041011408527","0.39741314554743734"
"original","shape","LeastAxisLength","18.461153826154028","8.986152244122726"
"original","shape","MajorAxisLength","47.14765167595768","22.61161298966164"
"original","shape","Maximum2DDiameterColumn","42.91191373306933","24.519372759664222"
"original","shape","Maximum2DDiameterRow","50.81542851340109","24.88612934918566"
"original","shape","Maximum2DDiameterSlice","47.23976730716357","23.478142823269305"
"original","shape","Maximum3DDiameter","50.89981173893644","25.566612490097"
"original","shape","MeshVolume","10389.971822590105","1556.7870887864126"
"original","shape","MinorAxisLength","34.10488793408539","16.76268648612112"
"original","shape","Sphericity","0.5176234213857949","0.6006649649935496"
"original","shape","SurfaceArea","4448.495121513847","1081.4454978970734"
"original","shape","SurfaceVolumeRatio","0.4281527608998738","0.694664996701707"
"original","shape","VoxelVolume","10556.162515066246","1637.2187061771872"
"original","firstorder","10Percentile","-27.0","-8.599999999999994"
