"Image type","Feature Class","Feature Name","103: RTSTRUCT: TN_mammella_segm_5_segment_t_mammella","103: RTSTRUCT: TN_mammella_segm_5_segment_n_ascella"
"diagnostics","Versions","PyRadiomics","v3.1.0","v3.1.0"
"diagnostics","Versions","Numpy","1.23.4","1.23.4"
"diagnostics","Versions","SimpleITK","2.2.0rc2.dev368","2.2.0rc2.dev368"
"diagnostics","Versions","PyWavelet","1.4.1","1.4.1"
"diagnostics","Versions","Python","3.9.10","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'Wavelet': {}}","{'Original': {}, 'Wavelet': {}}"
"diagnostics","Image-original","Hash","d63caa402209d4d13a2869d61c890b92b8fa5802","d63caa402209d4d13a2869d61c890b92b8fa5802"
"diagnostics","Image-original","Dimensionality","3D","3D"
"diagnostics","Image-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Image-original","Size","(512, 512, 251)","(512, 512, 251)"
"diagnostics","Image-original","Mean","-1212.833725279546","-1212.833725279546"
"diagnostics","Image-original","Minimum","-3024.0","-3024.0"
"diagnostics","Image-original","Maximum","3071.0","3071.0"
"diagnostics","Mask-original","Hash","f6a3534693160168eb3d58e867e65725804edfb8","2bff9ff63091f95e9a29ff9ca1f66ff13d67d796"
"diagnostics","Mask-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Mask-original","Size","(512, 512, 251)","(512, 512, 251)"
"diagnostics","Mask-original","BoundingBox","(287, 167, 171, 58, 33, 12)","(343, 220, 185, 22, 19, 6)"
"diagnostics","Mask-original","VoxelNum","6939","608"
"diagnostics","Mask-original","VolumeNum","1","1"
"diagnostics","Mask-original","CenterOfMassIndex","(318.1467070183023, 182.47874333477446, 176.53999135322093)","(351.5279605263158, 228.32730263157896, 187.95065789473685)"
"diagnostics","Mask-original","CenterOfMass","(60.68998449920733, -71.79819345150597, -235.7142282749677)","(93.28884818749995, -27.02423268749999, -198.40134868421057)"
"original","shape","Elongation","0.771295592874493","0.5209617062930666"
"original","shape","Flatness","0.4131378843066777","0.46570522224698624"
"original","shape","LeastAxisLength","19.652443070121812","11.758788108823168"
"original","shape","MajorAxisLength","47.56872660831449","25.249422911961478"
"original","shape","Maximum2DDiameterColumn","57.01691604458467","22.85330087618714"
"original","shape","Maximum2DDiameterRow","46.7382153888501","21.95219810098524"
"original","shape","Maximum2DDiameterSlice","50.574221669360455","21.328436021086684"
"original","shape","Maximum3DDiameter","59.85137067666631","28.532392169774337"
"original","shape","MeshVolume","21503.308449726876","1836.4136487620829"
"original","shape","MinorAxisLength","36.689549191644595","13.153982443130703"
"original","shape","Sphericity","0.60930762641355","0.6459299750294333"
"original","shape","SurfaceArea","6137.39912220492","1122.739563854351"
"original","shape","SurfaceVolumeRatio","0.28541650400233526","0.6113761812929152"
"original","shape","VoxelVolume","21639.35352793048","1896.0551873442473"
"original","firstorder","10Percentile","9.0","-26.0"
