"Image type","Feature Class","Feature Name","103: RTSTRUCT: TN_mammella_segm_3_segment_t_mammella","103: RTSTRUCT: TN_mammella_segm_3_segment_n_ascella"
"diagnostics","Versions","PyRadiomics","v3.1.0","v3.1.0"
"diagnostics","Versions","Numpy","1.23.4","1.23.4"
"diagnostics","Versions","SimpleITK","2.2.0rc2.dev368","2.2.0rc2.dev368"
"diagnostics","Versions","PyWavelet","1.4.1","1.4.1"
"diagnostics","Versions","Python","3.9.10","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'Wavelet': {}}","{'Original': {}, 'Wavelet': {}}"
"diagnostics","Image-original","Hash","5d92d8953e4a2ecad709d6c54256a6ac8dcb43cc","5d92d8953e4a2ecad709d6c54256a6ac8dcb43cc"
"diagnostics","Image-original","Dimensionality","3D","3D"
"diagnostics","Image-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Image-original","Size","(512, 512, 251)","(512, 512, 251)"
"diagnostics","Image-original","Mean","-1205.698799026915","-1205.698799026915"
"diagnostics","Image-original","Minimum","-3024.0","-3024.0"
"diagnostics","Image-original","Maximum","3071.0","3071.0"
"diagnostics","Mask-original","Hash","9abf717b12e751f5dc75e275e8b3de2055afb8b3","5479dc74784df9ddf5359a20c0a88a384a97cd85"
"diagnostics","Mask-original","Spacing","(0.976562, 0.976562, 3.27)","(0.976562, 0.976562, 3.27)"
"diagnostics","Mask-original","Size","(512, 512, 251)","(512, 512, 251)"
"diagnostics","Mask-original","BoundingBox","(136, 195, 158, 16, 21, 6)","(161, 259, 189, 13, 13, 5)"
"diagnostics","Mask-original","VoxelNum","761","443"
"diagnostics","Mask-original","VolumeNum","1","1"
"diagnostics","Mask-original","CenterOfMassIndex","(143.58475689881735, 206.40998685939553, 160.38764783180025)","(166.78781038374717, 265.372460496614, 191.48081264108353)"
"diagnostics","Mask-original","CenterOfMass","(-109.78058263337715, -48.42785041261499, -295.7823915900135)","(-87.1213623160271, 9.152660767494353, -194.10774266365718)"
"original","shape","Elongation","0.7538621715571926","0.8404634787944789"
"original","shape","Flatness","0.5473072971878756","0.5927955822107525"
"original","shape","LeastAxisLength","11.21360490485315","9.340599889740975"
"original","shape","MajorAxisLength","20.488681518536062","15.756864878962908"
"original","shape","Maximum2DDiameterColumn","20.476245755371856","18.562597892734843"
"original","shape","Maximum2DDiameterRow","22.85330087618714","17.561758480788193"
"original","shape","Maximum2DDiameterSlice","22.311823847426012","16.01680768499254"
"original","shape","Maximum3DDiameter","23.040321633955806","18.969154276479166"
"original","shape","MeshVolume","2321.212298980095","1342.909153042949"
"original","shape","MinorAxisLength","15.445641941907315","13.243069471067713"
"original","shape","Sphericity","0.7241845569677262","0.7884264112838325"
"original","shape","SurfaceArea","1170.6977233685848","746.59896396493"
"original","shape","SurfaceVolumeRatio","0.5043475445494457","0.5559564191465841"
"original","shape","VoxelVolume","2373.187496001599","1381.500736831417"
"original","firstorder","10Percentile","-45.0","-9.0"
